KODE NAMA PT,Terakhir,%Perubahan,Perrubahan,Penialain,Volume,Cap Pasar,P/E,EPS(TTM),Pegawai,Jenis Industri
" BLUE BERKAH PRIMA PERKASA TBK. ",474.00,0.42%,2.00,Penjualan,134.000K,—,—,—,—,Distributor Elektronik
" BMSR BINTANG MITRA SEMESTARAYA TBK ",59.00,1.72%,1.00,Penjualan,3.200K,59.119B,12.28,4.48,59.00,Distributor Grosir
" DAYA DUTA INTIDAYA TBK. ",466.00,18.88%,74.00,Pembelian,4.000K,1127.980B,51.18,7.66,1174.00,Distributor Grosir
" EPMT ENSEVAL PUTERA MEGATRADING TBK. ",2040.00,-6.85%,-150.00,Penjualan,13.200K,5931.920B,9.72,241.67,4686.00,Distributor Medis
" FOOD SENTRA FOOD INDONESIA TBK. ",85.00,-1.16%,-1.00,Pembelian,96.600K,53.300B,—,—,236.00,Distributor Makanan
" GLVA GALVA TECHNOLOGIES TBK. ",226.00,10.78%,22.00,Pembelian,90.900K,—,—,—,—,Distributor Elektronik
" HADE HIMALAYA ENERGI PERKASA TBK. ",50.00,0.00%,0.00,Penjualan,200,106.000B,26.21,1.91,39.00,Distributor Grosir
" HEXA HEXINDO ADIPERKASA TBK. ",2320.00,0.87%,20.00,Penjualan,1.437M,1864.800B,2.76,797.45,1565.00,Distributor Grosir
" INTA INTRACO PENTA TBK. ",358.00,-0.56%,-2.00,Penjualan,7.600K,1262.390B,—,-74.09,1590.00,Distributor Grosir
" IRRA ITAMA RANORAYA TBK. ",545.00,0.93%,5.00,Netral,12.164M,—,—,—,—,Distributor Medis
" KOBX KOBEXINDO TRACTORS TBK. ",87.00,0.00%,0.00,Penjualan,832.100K,147.712B,4.38,15.29,781.00,Distributor Grosir
" KOIN KOKOH INTI AREBAMA TBK ",110.00,0.00%,0.00,Penjualan,100,107.893B,17.71,6.21,360.00,Distributor Grosir
" MRAT MUSTIKA RATU TBK. ",135.00,-1.46%,-2.00,Pembelian,32.700K,54.784B,—,-1.73,1828.00,Distributor Medis
" OPMS OPTIMA PRIMA METAL SINERGI TBK. ",89.00,0.00%,0.00,Pembelian,198.900K,—,—,—,—,Distributor Grosir
" SDPC MILLENNIUM PHARMACON INTERNATIONAL TBK. ",81.00,0.00%,0.00,Penjualan,2.300K,95.550B,13.10,6.19,1091.00,Distributor Medis
" SLIS GAYA ABADI SEMPURNA TBK. ",4680.00,-2.30%,-110.00,Pembelian,326.900K,—,—,—,—,Distributor Elektronik
" TGKA TIGARAKSA SATRIA TBK. ",4900.00,-2.00%,-100.00,Penjualan,100,4592.470B,10.51,466.43,2109.00,Distributor Makanan
" WICO WICAKSANA OVERSEAS INTERNATIONAL TBK. ",550.00,0.00%,0.00,Pembelian,1.500K,697.923B,—,-18.78,361.00,Distributor Grosir
" GMFI GARUDA MAINTENANCE FACILITY AERO ASIA TBK. ",80.00,-2.44%,-2.00,Penjualan,21.364M,2315.150B,—,-1.51,4975.00,Luar Angkasa & Pertahanan
" IKBI SUMI INDO KABEL TBK. ",232.00,-1.69%,-4.00,Penjualan,12.700K,244.800B,5.04,46.83,552.00,Perlengkapan Telekomunikasi
" JSKY SKY ENERGY INDONESIA TBK. ",102.00,-3.77%,-4.00,Netral,17.571M,156.506B,5.62,14.42,44.00,Perlengkapan Produksi Elektronik
" MTDL METRODATA ELECTRONICS TBK. ",1235.00,4.22%,50.00,Penjualan,147.500K,2774.580B,7.80,144.91,2755.00,Peripheral Komputer
" PTSN SAT NUSAPERSADA TBK ",181.00,1.12%,2.00,Pembelian,5.645M,746.133B,14.27,10.44,436.00,Komponen Elektronik
