NO PENERBANGAN,,TANGGAL PENERBANGAN,DARI,MENUJU,,STD,ATD,STA,,STATUS KEDATANGAN,AIRCRAFT,AIRLINE,OPERATOR,TYPE CODE,CODE1,CODE2,MODE S
" QR8171 "," "," 04 Apr 2020 "," Doha (DOH) "," Luxembourg (LUX) ",—," 07:20 "," 06:55 "," 13:50 ",," Diverted to MST "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" QR8238 "," "," 03 Apr 2020 "," Paris (CDG) "," Doha (DOH) ",5:43," — "," 21:20 "," — ",," Landed 03:03 "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" QR8237 "," "," 03 Apr 2020 "," Doha (DOH) "," Paris (CDG) ",6:24," — "," 11:34 "," — ",," Landed 17:58 "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" QR8112 "," "," 03 Apr 2020 "," Milan (MXP) "," Doha (DOH) ",5:01," 06:10 "," 02:35 "," 12:00 ",," Landed 07:36 "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" 3S510 "," "," 09 Apr 2020 "," Leipzig (LEJ) "," — ",—," — "," 20:10 "," — ",," Scheduled "," Boeing 777-F "," AeroLogic "," AeroLogic "," B77L "," 3S / BOX "," 3S / BOX "," 3C458E "
" 3S581 "," "," 09 Apr 2020 "," Cologne (CGN) "," Leipzig (LEJ) ",0:39," — "," 13:10 "," — ",," Landed 13:49 "," Boeing 777-F "," AeroLogic "," AeroLogic "," B77L "," 3S / BOX "," 3S / BOX "," 3C458E "
" 3S581 "," "," 08 Apr 2020 "," Hong Kong (HKG) "," Cologne (CGN) ",11:22," — "," 23:17 "," — ",," Landed 10:38 "," Boeing 777-F "," AeroLogic "," AeroLogic "," B77L "," 3S / BOX "," 3S / BOX "," 3C458E "
" 3S587 "," "," 08 Apr 2020 "," Seoul (ICN) "," Hong Kong (HKG) ",3:21," — "," 17:05 "," — ",," Landed 20:26 "," Boeing 777-F "," AeroLogic "," AeroLogic "," B77L "," 3S / BOX "," 3S / BOX "," 3C458E "
" 3S580 "," "," 08 Apr 2020 "," Leipzig (LEJ) "," Seoul (ICN) ",9:24," — "," 05:22 "," — ",," Landed 14:46 "," Boeing 777-F "," AeroLogic "," AeroLogic "," B77L "," 3S / BOX "," 3S / BOX "," 3C458E "
" 3S391 "," "," 08 Apr 2020 "," East Midlands (EMA) "," Leipzig (LEJ) ",1:21," 00:50 "," 00:55 "," — ",," Landed 02:15 "," Boeing 777-F "," AeroLogic "," AeroLogic "," B77L "," 3S / BOX "," 3S / BOX "," 3C458E "
